Speed Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max)
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Sign [cycles] (mean),Sign [cycles] (min),Sign [cycles] (max),Verify [cycles] (mean),Verify [cycles] (min),Verify [cycles] (max)
crossv2.0-sha3-r-sdp-1-balance (20 executions),light,437553,433473,443646,34115125,34034465,34217225,17564611,17557836,17569508
crossv2.0-sha3-r-sdp-1-balance (20 executions),ref,400650,396532,406791,38983438,38980622,38987383,18645536,18638768,18650379
crossv2.0-sha3-r-sdp-1-fast (20 executions),light,437534,433472,443478,16959572,16955561,16969382,9137692,9135703,9140238
crossv2.0-sha3-r-sdp-1-fast (20 executions),ref,400623,396550,406579,21223891,21219618,21233839,11765990,11763889,11768410
crossv2.0-sha3-r-sdp-1-small (40 executions),light,437543,433549,443589,68316052,68188949,68459160,35731972,35726582,35736239
crossv2.0-sha3-r-sdp-1-small (40 executions),ref,400624,396633,406695,76714859,76707998,76726379,36498026,36492298,36502091
crossv2.0-sha3-r-sdp-3-balance (20 executions),light,1007233,1003068,1013241,75629770,75553771,75704003,37578243,37574482,37583083
crossv2.0-sha3-r-sdp-3-balance (20 executions),ref,964690,960476,970769,92882149,92872639,92890422,41773512,41770893,41777970
crossv2.0-sha3-r-sdp-3-fast (20 executions),light,1007341,1003221,1013358,41661552,41653486,41668362,22836282,22834075,22838175
crossv2.0-sha3-r-sdp-3-fast (20 executions),ref,964827,960654,970897,53999005,53990034,54006082,31198630,31195841,31200867
crossv2.0-sha3-r-sdp-3-small (20 executions),light,1007389,1003256,1013301,113374584,113263910,113507354,55347002,55343745,55350553
crossv2.0-sha3-r-sdp-3-small (2 executions),ref,0,0,0,0,0,0,0,0,0
crossv2.0-sha3-r-sdp-5-balance (20 executions),light,1789511,1785260,1795850,129556310,129471045,129653790,64152120,64145166,64158358
crossv2.0-sha3-r-sdp-5-balance (2 executions),ref,0,0,0,0,0,0,0,0,0
crossv2.0-sha3-r-sdp-5-fast (20 executions),light,1789308,1785005,1795642,74230958,74223037,74236152,41267270,41262167,41270328
crossv2.0-sha3-r-sdp-5-fast (20 executions),ref,1672453,1668119,1678926,108904803,108896883,108910455,58704832,58699196,58707460
crossv2.0-sha3-r-sdp-5-small (20 executions),light,1789305,1785009,1795566,199845620,199771813,199977477,101538675,101532735,101542316
crossv2.0-sha3-r-sdp-5-small (2 executions),ref,0,0,0,0,0,0,0,0,0
crossv2.0-sha3-r-sdpg-1-balance (20 executions),light,205190,201061,211337,26730985,26692555,26764665,14669439,14668094,14671854
crossv2.0-sha3-r-sdpg-1-balance (20 executions),ref,196606,192527,202690,26038462,26036450,26046319,15931333,15930314,15932965
crossv2.0-sha3-r-sdpg-1-fast (20 executions),light,205212,201123,211228,11692200,11690275,11701662,6659561,6658598,6660157
crossv2.0-sha3-r-sdpg-1-fast (20 executions),ref,196637,192575,202634,12417006,12414978,12426241,7770754,7769490,7772445
crossv2.0-sha3-r-sdpg-1-small (20 executions),light,205171,201072,211180,53081874,53000681,53170362,29600515,29597854,29603019
crossv2.0-sha3-r-sdpg-1-small (20 executions),ref,196599,192535,202558,51828623,51826429,51835628,31857047,31855150,31859441
crossv2.0-sha3-r-sdpg-3-balance (20 executions),light,449609,445462,455632,38239009,38177197,38287916,22094733,22092917,22097022
crossv2.0-sha3-r-sdpg-3-balance (20 executions),ref,417451,413341,423507,40330421,40321910,40337390,25540174,25536522,25542384
crossv2.0-sha3-r-sdpg-3-fast (20 executions),light,449662,445408,455765,26457655,26452584,26462777,16045380,16043435,16046898
crossv2.0-sha3-r-sdpg-3-fast (20 executions),ref,417483,413297,423516,29894607,29888629,29900250,19490890,19489648,19491713
crossv2.0-sha3-r-sdpg-3-small (20 executions),light,449628,445384,455669,72221771,72128644,72381093,43308915,43305740,43310822
crossv2.0-sha3-r-sdpg-3-small (20 executions),ref,417467,413243,423497,75748838,75743540,75755795,48560207,48557898,48562313
crossv2.0-sha3-r-sdpg-5-balance (20 executions),light,747217,743076,753470,65274247,65192313,65414565,38069558,38066056,38072915
crossv2.0-sha3-r-sdpg-5-balance (20 executions),ref,710456,706326,716647,73740760,73733470,73745613,45889272,45885720,45891838
crossv2.0-sha3-r-sdpg-5-fast (20 executions),light,747231,742953,753332,48167939,48158433,48170649,29823877,29822003,29827120
